行业,district,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
造纸和纸制品业,全国,51,,3,,,7,7,34,,19,12,1,19,14,2,1,2,7,4,,,,,1,,,,,1,,,4,2,1,12,,,,,,,,696952076089.42,13665726982.1455,107080859659,322777156,3096596510,14843185206,291042847.17549,3310508987,-2353282778,131080985.7,229429,4498.60784313726,23097,119,1742,434505791216.05,8519721396.39314,64538128754,288960499,2562875838,40.0958823529412,76.97,9.25,34.66,9795484898,212945323.86913,1290288365,978194.78,86178270.5,2.84901960784314,61.56,-35,1.85,17656675337,346209320.333529,3587118443,-2174500978,147485629.3,-197.4782353,114.6,-4588.54,-36.86,-206.5592157,104.6,-3220.47,-40.71,14.5877777777778,123,-34.2,4.97,3.51130434782609,14.16,0.16,3.345,0.321555555555556,8.68,-1.25,0.13,24100547.24,12050273.62,23800479.24,300068,12050273.62,-91.86,-91.86,-91.86,-91.86,16292,417.74358974359,2461,28,206,19.0247368421053,504.25,-27.85,1.345,0.748,46.57,-20.5,-0.46,2406459159,49111411.4061224,546164527,818653.1,9614184.5,3527.44,69.1654901960784,358,0.33,42,14330,304.893617021277,1786,1,200,56,4.66666666666667,12,1,4,1414,32.1363636363636,145,1,19,1481,33.6590909090909,145,1,17.5,0,0,0,0,0,1692,37.6,279,2,27,1,1,1,1,1,486,11.8536585365854,41,1,7,1,1,1,1,1,1749,38.8666666666667,246,2,24,264,7.33333333333333,82,1,3,11.5205128205128,20.56,3.36,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386869106927.13,7585668763.27706,60572794836,83964421.09,1150664126,18726,398.425531914894,1685,1,268,0,0,0,0,0,4119,89.5434782608696,425,1,56.5,56,4.66666666666667,12,1,4,44,2,6,1,1,0,0,0,0,0
卫生和社会工作,全国,29,,1,,,1,3,23,1,12,15,,2,10,1,,,12,2,1,,,1,,,,,,,,,,,1,1,,,,,,,,178023555833.39,6138743304.59966,26578838999,286263324.2,2774326192,6745325302,232597424.192414,2842985913,-1195331643,20568784.87,174035,6001.20689655172,36827,112,2636,106346868329,3667133390.65517,20282440683,46530298,1589074492,48.8486206896552,128.08,11.26,43.78,2444993045,143823120.307647,640868147.6,855630.8,23825111,20.7320689655172,207.91,-40.76,1.52,10673852164,368063867.7,3534494313,-1132609391,61561439,-10.04793103,865.2,-620.55,-15.11,-4.69137931,505.08,-393.52,-21.62,8.94466666666667,95.56,-78.34,9.34,1.82588235294118,8.4,0.02,1.48,-0.377857143,0.7,-3.1,-0.17,107306094.9,35768698.3,56887965.46,2395281.94,48022847.5,-17.47,3.3,-38.24,-17.47,5228,435.666666666667,1557,7,266.5,34.354,147.3,-20.95,5.78,3.98607142857143,23.28,-19.54,4.705,452174051.8,18840585.4929167,81898265.48,190509.5,7167082.13,4425.79,152.613448275862,1733,2.04,35,5909,295.45,2663,1,48,122,17.4285714285714,99,1,2,713,47.5333333333333,342,1,5,587,41.9285714285714,293,1,13.5,0,0,0,0,0,1063,66.4375,515,1,10.5,2,1,1,1,1,276,25.0909090909091,153,1,11,2,1,1,1,1,1044,74.5714285714286,484,2,19.5,110,12.2222222222222,36,1,2,5.59,17.94,0.27,4.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80173117944,2764590273.91552,11553902282,78549988.7,1456589854,8814,518.470588235294,4544,2,72,0,0,0,0,0,2196,129.176470588235,905,1,23,122,17.4285714285714,99,1,2,7,2.33333333333333,3,1,3,0,0,0,0,0
教育,全国,60,,,,1,2,1,55,,8,47,,5,7,1,,,45,1,,,,,,,,,,,,,1,,,3,,,,1,,,,262158733248.13,4369312220.80217,33576066144,113192056.8,2199627714,6037224097,100620401.624667,1936001433,-1102069537,48638363.88,182887,3048.11666666667,22660,16,1372,69126795798,1152113263.30017,6853682145,13390532.5,615345118,56.6513333333333,217.62,8,52.085,2978444240,119137769.6,803796128,2490219,29455902.37,-0.81,206.2,-95.3,1.655,7176777083,119612951.387167,1969007924,-1277222744,41392506.27,-118.4050847,438.96,-3639.16,30.34,-53.7685,393.4,-3281.41,29.755,-35.33125,32.35,-89.27,-33.245,9.592,44.42,0.54,6.26,-0.296956522,10.82,-12.12,-0.67,12092941.07,4030980.35666667,7263721.5,936130.17,3893089.4,-45.17333333,5.43,-105,-35.95,5994,333,1699,27,159,-27.50125,-1.44,-57.88,-24.145,2.91745762711864,1263.62,-98.7,-12.41,805476320.8,15793653.3498039,152448533.4,1415,4407557,1823.87,30.3978333333333,295,0.39,15.5,4401,183.375,1101,1,34.5,24,12,18,6,12,738,56.7692307692308,306,1,14,494,27.4444444444444,159,1,5.5,0,0,0,0,0,483,48.3,176,2,29,0,0,0,0,0,301,37.625,138,1,9,0,0,0,0,0,548,42.1538461538462,140,2,16,197,21.8888888888889,101,1,2,19.0516666666667,57.57,1.43,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136289394220.93,2271489903.68217,16999016194,30298132.02,901434622.8,7039,335.190476190476,2292,2,56,0,0,0,0,0,1983,94.4285714285714,578,1,10,24,12,18,6,12,2,1,1,1,1,0,0,0,0,0
农、林、牧、渔业,全国,50,,5,1,,13,,30,1,31,2,1,16,22,5,3,,2,,,,,1,,,,,,,,1,7,2,,6,1,,,,,,,557611963084.44,11152239261.6888,192947670174,135959438,3868453755,6837826987,136756539.7,14933494035,-14345880091,50401566.53,368408,7368.16,140457,29,1757,360364898214.01,7207297964.2802,124826000000,10735534.24,1990433119,58.5194,227.9,14.2,52.64,3443594731,73267972.9893617,1142405803,416214.55,23057656.68,37.2046,753.4,-86.23,15.26,10060408209,201208164.2,14853668723,-12453430305,58401684.38,-8.3258,893.42,-1939.7,25.18,-52.0078,399.22,-2951.04,21.06,136.181956521739,3118.99,-95.22,33.975,2.17234042553191,14.12,0.01,1.05,0.362173913043478,9.84,-2.32,0.085,143365782,17920722.74,67538856.42,26073,12953931.69,-5.35,133.75,-102,-15.925,13139,312.833333333333,6139,4,86,21.6627027027027,183.62,-92.9,7.63,3.3269387755102,79.1,-87.04,-0.26,1712862736,34956382.3571429,399787736,84910.74,14342451,6665.15,133.303,2300,0.29,41,10151,211.479166666667,1853,4,101.5,43,5.375,22,1,2,1138,24.7391304347826,275,1,11.5,1848,39.3191489361702,262,1,15,0,0,0,0,0,1021,26.8684210526316,375,2,10,1,1,1,1,1,292,9.125,58,1,5.5,1,1,1,1,1,1268,30.9268292682927,569,1,9,181,6.24137931034483,55,1,2,6.99880952380953,24.89,0.33,3.86,0,0,0,0,0,0,0,0,0,0,6,1.2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,323368075344.34,6467361506.8868,104877213043.91,147158095.6,1846349051,15458,328.893617021277,2804,10,144,0,0,0,0,0,3818,79.5416666666667,760,2,30.5,43,5.375,22,1,2,11,1.1,2,1,1,0,0,0,0,0
橡胶和塑料制品业,全国,107,1,2,,,10,6,87,1,68,2,8,29,54,9,1,3,1,1,,,,1,,,,,,7,,,1,1,2,25,,,,,1,,,476387663666.96,4452221155.76598,55428698924,213941851.5,2316601720,21951903679,205157978.304486,4212137214,-388864551.6,70758077.63,218137,2038.66355140187,21408,102,1198,313571405678.69,2930573884.84757,40412377511,129529881.5,1618318973,36.0729906542056,98,4.02,34.94,12179847531,114904221.990377,1453703556,1897671.51,47604030.02,2.5611214953271,80.43,-35.7,-1.57,24601944276,229924712.858598,4769410499,-464836322.2,75789128.85,-207.344486,512.2,-16953.99,-15.45,-109.7820561,930.1,-9159.03,-15.91,8.85849056603774,211.2,-45.82,5.03,4.20566037735849,9.56,0.1,4.065,0.155377358490566,2.29,-2.12,0.145,105451980.4,21090396.08,62896400.4,14334.77,10248785.38,42.654,147.51,-24.7,-2.81,27407,261.019047619048,3146,14,137,5.84474747474747,229.17,-69.85,3.41,3.72707547169811,121.05,-37.8,1.96,1966394638,18377519.9827103,310720643.9,383153.1,9217314.61,6440.26,60.1893457943925,945,1.32,29,50461,471.598130841121,6110,20,205,1276,22.7857142857143,575,1,3.5,8247,78.5428571428571,2104,2,31,7081,67.4380952380952,1510,1,27,0,0,0,0,0,5775,56.0679611650485,911,1,22,171,10.6875,99,1,2,2559,26.9368421052632,821,1,9,171,10.6875,99,1,2,5055,49.0776699029126,600,1,22,1353,16.3012048192771,455,1,4,13.322380952381,35.1,0.9,13.2,0,0,0,0,0,0,0,0,0,0,7,1.16666666666667,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212961187697.84,1990291473.81159,37141538038,34683015.64,939333166.8,120358,1124.84112149533,28620,18,423,0,0,0,0,0,21927,204.92523364486,5096,1,78,1275,22.7678571428571,571,1,3.5,90,2.30769230769231,12,1,1,7,1.16666666666667,2,1,1
家具制造业,全国,43,,1,,,,2,40,,14,11,2,16,13,,1,,9,2,,,,,,,,,,2,,,,,,16,,,,,,,,212416487600.27,4939918316.28535,28611032392,77514037.93,3166268311,9786713825,227597995.932326,2682519513,-1508812157,52638651,213012,4953.76744186046,25851,28,2733,167008086205.14,3883908981.51488,22479555834,85655805.09,2663333648,45.8944186046512,111.1,6.13,47.8,5044016376,132737273.047105,1123242484,73369.93,79591251.22,-9.56744186,49.45,-74.81,-3.47,11995127494,278956453.340233,3056076244,-1610004084,63068989.69,114.824186046512,6559.7,-2604.76,1.31,544.246744186046,26106.55,-2387.97,-5.4,8.89026315789474,503,-89.67,-0.705,3.79894736842105,16.77,0.05,3.42,0.626486486486487,10.93,-0.98,0.23,56276760.01,18758920.0033333,47736486.61,1699168.1,6841105.3,43,191.38,-33.18,-29.2,17222,538.1875,3025,33,382,-6.2134375,41.42,-55.55,-4.395,-1.837209302,306.94,-67.21,-6.02,1394490274,34862256.86,320241358.1,254035,14064884.17,2486.56,57.826976744186,586,0.21,30,31299,845.918918918919,4948,8,638,207,14.7857142857143,64,1,7,883,25.9705882352941,131,1,18,729,22.0909090909091,94,1,14,0,0,0,0,0,4576,127.111111111111,864,1,61,27,5.4,20,1,2,633,19.78125,219,1,6.5,27,5.4,20,1,2,4528,129.371428571429,640,1,87,218,7.03225806451613,49,1,4,11.74125,28.39,5,10.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106263507398.06,2471244358.09442,12097290851,33077811.8,1338209930,16791,453.810810810811,1555,2,290,0,0,0,0,0,3315,94.7142857142857,396,3,66,207,14.7857142857143,64,1,7,22,2,6,1,1,0,0,0,0,0
印刷和记录媒介复制业,全国,33,,,,,1,8,24,,9,18,1,5,7,,,2,12,5,,,,,1,,,,,1,,,,,1,4,,,,,,,,74970817322,2271842949.15121,12104481295,35539261,824662536.5,-2189746263,-66355947.37,304161025.3,-2828395744,8080018.7,44244,1382.625,5743,139,964,43205472286,1309256735.92485,9538228571,37014118,564498063.5,64.0224242424243,635.08,0.1,32.83,1112365194,48363704.106087,229584049.2,7298213,27918229.38,-5.234242424,78.98,-72.81,-5.04,-1350068190,-40911157.26,484369302,-2805221377,19305535,-28.94060606,945.43,-714.98,-42.19,-61.57151515,745.46,-1137.63,-58.56,7.24681818181818,206.35,-35.32,-2.19,3.82652173913043,6.96,0.46,4,0.103809523809524,4.25,-1.72,0.1,24159407.91,12079703.96,19065989.91,5093418,12079703.96,167.71,653.28,-106,-44.15,2530,168.666666666667,516,24,122,8.74642857142857,45.66,-23.19,5.94,-4.020967742,70,-47.84,-3.8,538928305.4,19247439.4782143,246037938,135036,5267480.185,862.42,26.1339393939394,176,0.39,19,5002,208.416666666667,871,3,196.5,10,2,4,1,2,540,24.5454545454545,95,1,19,493,24.65,104,1,16,0,0,0,0,0,448,20.3636363636364,70,1,17,0,0,0,0,0,109,8.38461538461539,28,1,8,0,0,0,0,0,468,21.2727272727273,66,1,20,70,4.375,16,1,3,11.396,21.3,2.73,11.31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41056708207,1244142672.92788,14772105957,823028,494990697.8,7527,313.625,1447,1,261,0,0,0,0,0,1404,63.8181818181818,280,1,50.5,10,2,4,1,2,13,1.44444444444444,4,1,1,0,0,0,0,0
废弃资源综合利用业,全国,27,,2,,,4,1,19,1,12,12,,3,10,2,,,7,1,2,,,,2,,,,,,,,,,,2,,,1,,,,,329014932694.02,12185738247.9267,75379889967,161691789.9,2985492797,24469776754,906288027.925185,16189529836,-568691419,111449953,66509,2463.2962962963,10325,14,1555,118319338994.01,4550743807.46192,29391750547,43510795.2,2312656747,47.2351851851852,78.93,5.54,55.7,3800666469,165246368.205217,1476492999,1922,38029529,15.7111538461538,118.67,-41.94,7.1,8701032010,322260444.803704,2034883234,-556475566.4,123609486.8,-79.32814815,177.44,-610.97,-32.7,-52.27111111,438.73,-787.26,-6.3,24.5527272727273,184.42,-99.88,0.82,3.61727272727273,14.88,0.06,3.6,0.231818181818182,5.2,-2.48,-0.03,406004120.5,81200824.1,339010072.4,2267230.26,7896020.1,35.2325,126.9,-43.22,28.625,4556,284.75,1566,4,123,7.23625,71.19,-46.32,4.375,11.2646153846154,126.36,-29,5.805,1246403684,47938603.2473077,269162030.8,10263,15477066.44,1582.8,58.6222222222222,354,0.43,35,11409,518.590909090909,3278,1,145.5,122,17.4285714285714,86,1,10,1331,66.55,627,1,8,1465,73.25,572,1,10,0,0,0,0,0,1039,54.6842105263158,455,1,26,22,11,20,2,11,480,26.6666666666667,271,1,9,22,11,20,2,11,963,48.15,250,4,26.5,189,15.75,72,1,7,13.78625,30.68,3.92,13.87,0,0,0,0,0,0,0,0,0,0,3,1.5,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175721965092.76,6508220929.36148,28207407421,46813291.5,1795290227,20176,960.761904761905,7906,1,209,0,0,0,0,0,4398,199.909090909091,1868,1,49,122,17.4285714285714,86,1,10,14,4.66666666666667,12,1,1,3,1.5,2,1,1.5
木材加工和木、竹、藤、棕、草制品业,全国,11,,,,,1,2,8,,5,2,,4,5,,,,2,,,,,,,,,,,,,,1,,2,1,,,,,,,,41731716684,3793792425.83182,9549628983,148077834,4133823138,546785476.7,49707770.6054546,461842751.1,-195985410.5,-6784913,19090,1735.45454545455,6541,32,1207,24326203287,2211473026.11182,8917384021,59487742,886980742.9,41.1663636363636,82.36,13.4,34.32,379043253.6,42115917.0711111,130442739.2,14671155,30068275.42,-24.29,-0.6,-65.54,-15.83,783675269.8,71243206.3427273,601767535.1,-192982116,-7143925,-163.9918182,56.55,-804.28,-99.42,-176.1681818,56.57,-817.51,-73.3,-14.00222222,8.03,-66.6,-13.38,2.62222222222222,4.09,0.8,3.16,0.111111111111111,0.8,-0.18,-0.08,0,0,0,0,0,0,0,0,0,1358,169.75,563,37,95,0.66125,31.69,-33.97,0.83,-17.54636364,6.98,-73.32,-8.43,176973814.4,17697381.44,71490695.22,-5111728,12359456.26,320.82,29.1654545454545,92,0.42,26,3714,412.666666666667,1039,14,218,7,7,7,7,7,345,38.3333333333333,109,1,23,391,43.4444444444444,169,3,26,0,0,0,0,0,353,44.125,94,4,35,0,0,0,0,0,94,13.4285714285714,33,1,8,0,0,0,0,0,274,34.25,85,2,25.5,34,5.66666666666667,12,2,4,7.08375,9.97,4.87,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17071832191,1551984744.61818,3463672857,122009794,1320177331,5577,619.666666666667,2021,74,382,0,0,0,0,0,1000,111.111111111111,373,3,69,7,7,7,7,7,23,4.6,12,2,2,0,0,0,0,0
仪器仪表制造业,全国,89,,2,,1,3,3,80,,48,3,10,28,44,2,1,,3,,,,1,,,,,,,10,,,1,1,3,23,,,,,,,,234236588440.16,2631871780.22652,21300520496,130132062.4,1591857109,9594937698,107808288.740562,965004676.7,-443027199.7,79259565.57,116087,1304.34831460674,8130,24,801,95988467877,1078522110.9818,9098209642,97859190.18,622471622.9,28.8305617977528,92.14,4.46,25.83,8626795844,96930290.3811236,589301729.8,8396421,60837907.29,8.06550561797753,59.1,-42.86,10.62,11096515993,124679954.976067,1152341599,-487261961.1,80648833.73,5.34808988764045,1831.52,-332.8,-7.07,13.3424719101124,2478.84,-375.56,-6.91,100.103707865169,7292.5,-47.05,19.4,10.9386516853933,70.63,2.9,8.4,1.63247191011236,31.4,-3.51,0.72,441911947.1,55238993.39,156871283.5,5133385.05,24413532.05,32.465,410.61,-109,-10.33,27508,319.860465116279,1729,23,201,14.3116666666667,139,-52.34,11.81,9.24112359550562,47.1,-36.87,8.89,1442372086,16390591.8880682,150661902.4,205349.1,9328104.22,4822.58,54.1862921348315,264,0.96,40,45214,513.795454545455,3989,4,327,454,11.35,71,1,4.5,6761,77.7126436781609,904,3,35,4354,50.0459770114943,406,1,29,0,0,0,0,0,5626,64.6666666666667,804,2,36,38,5.42857142857143,11,3,4,2453,29.9146341463415,392,1,12,38,5.42857142857143,11,3,4,4818,56.0232558139535,841,2,32.5,1100,15.0684931506849,258,1,7,27.691511627907,95.88,5.82,24.43,0,0,0,0,0,0,0,0,0,0,12,1.2,2,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,88156504314,990522520.380786,8103409814,30626444.6,376332420.6,85051,966.488636363636,6296,12,632.5,0,0,0,0,0,18136,206.090909090909,2041,1,111.5,454,11.35,71,1,4.5,152,4.90322580645161,19,1,3,2,1,1,1,1
其他制造业,全国,53,1,6,,,3,5,38,,25,16,,12,19,2,3,,10,4,2,,,,,1,,,,,,,1,1,1,9,,,,,,,,137118583940.47,2587143093.21641,16378883641,56917099.32,1739553236,5558095007,104869717.122075,1408731756,-243262985.7,49882768,71136,1342.18867924528,6133,47,702,72902328804,1375515637.80736,7144241106,19070857,694835190.7,34.4179245283019,91.66,3.85,33.19,3211362145,71363603.2322222,317114821,917453.55,34320654.31,1.64433962264151,47.76,-57.52,4.15,5931331269,111911910.743962,1063419625,-222983040.3,60982399.57,0.22584905660377,380.64,-687,7.7,2.6911320754717,343.61,-686.19,5.3,1.54,76.74,-97.06,6.285,6.68355555555556,34.59,0.02,5.81,-0.83,4.01,-19.89,-0.095,248901503.5,31112687.94,140927600.1,920720.34,16578977.69,82.8166666666667,769.25,-102,-20,9578,233.609756097561,1105,3,136,5.67131578947368,76.99,-25,1.385,0.8358,54.56,-42.79,0.89,458685564.1,9173711.282,59006766.51,4292.2,4076168.345,2464.75,46.5047169811321,287,0.2,31,20532,477.488372093023,3373,6,245,326,14.8181818181818,132,1,4,2558,60.9047619047619,403,2,22,2120,51.7073170731707,430,1,20,0,0,0,0,0,2060,52.8205128205128,300,1,27,10,3.33333333333333,8,1,1,598,18.6875,108,1,9,10,3.33333333333333,8,1,1,1968,49.2,299,1,24.5,331,9.73529411764706,45,1,4,19.3880487804878,48.62,5.55,15.11,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46794206739,882909561.120188,4693542455,20476644.71,421276678.6,39374,915.674418604651,7069,55,335,0,0,0,0,0,6816,158.511627906977,1319,3,85,332,15.0909090909091,138,1,4,25,5,8,3,5,0,0,0,0,0
