企业名称,bmCode,year,总资产,净利润金额,雇员总数,营业收入金额,资产负债率,研发投入金额,营业收入同比增减幅,营业利润金额,营业利润同比增减幅,净利润同比增减幅,研发投入同比增减幅,研发投入占比,研发投入占比增减幅,资本化研发投入,资本化研发投入同比增减幅,研发人员数量,研发人员同比增减幅,雇员同比增减幅,政府奖励资金、补贴,公司市值,累计中国专利申请数,累计PCT专利申请数,累计中国发明专利授权数,累计中国发明专利失效数,累计PCT发明专利失效数,年度中国专利申请数,年度PCT专利申请数,年度中国发明专利申请数,年度PCT发明专利申请数,年度中国专利授权数,年度中国发明专利授权数,研发人员占比,国家科技进步奖,国家技术发明奖,省/部级科技进步奖,省/部级技术发明奖,国际行业奖项,国家自然科学奖,省/部级自然科学奖,省/部级科学技术奖,省级企业科技创新奖,总负债,累计所有专利被引用数,累计核心专利被引次数,累计中国发明专利申请数,累计PCT发明专利申请数,参与起草国家标准,参与起草行业标准
众航远船发动机公司,626385,2022,5618368771.02,258700216.22,2100.0,2467692695.66,54.56,304835724.89,-4.4,265252480.05,-19.57,-12.81,12.15,12.3,1.86,,,527.0,2.39,-4.55,34470544.54,33.0,1806.0,10.0,643.0,163.0,,394.0,,337.0,,267.0,189.0,25.12,,,,,,,,,,3062359046.4,5692.0,,1559.0,10.0,,
卫星恒化化学公司,626532,2022,2545691319.86,379588454.5,511.0,2562676693.7,32.48,39719079.25,25.41,500348220.92,-18.59,-23.62,87.96,1.57,0.53,,,71.0,176.0,10.66,2536489.0,52.0,150.0,1.0,26.0,9.0,,10.0,,4.0,,8.0,2.0,13.75,,,,,,,,,,826015671.91,309.0,,48.0,1.0,,
徐业腾锦设备公司,626634,2022,2244449120.28,227232426.63,874.0,579493042.26,14.43,82057756.99,33.82,259266817.42,40.1,35.48,23.78,14.19,-1.19,16093020.63,11.77,163.0,20.9,50.42,8959444.4,211.0,388.0,28.0,63.0,17.0,,34.0,,11.0,,34.0,,18.6,,,,,,,,,,324300223.42,898.0,,178.0,28.0,,
用丰软智数据服务公司,626639,2022,2440303228.8,28587450.42,58.0,1054050539.98,17.97,,-18.79,50454987.29,648.29,575.27,,,,,,,,-15.93,,6.42,,,,,,,,,,,,,,,,,,,,,,437686776.73,,,,,,
美能创电智能科技公司,626723,2022,2670159058.77,8161094.66,1463.0,1724298435.9,53.45,56536728.64,30.53,15586027.35,-32.48,-53.35,32.85,3.27,0.02,,,167.0,7.1,28.55,4032115.62,33.0,1276.0,,39.0,23.0,,46.0,,6.0,,31.0,1.0,11.38,,,,,,,,,,1426814780.79,616.0,,109.0,,,
西业昌锦矿产公司,626732,2022,1717703334.83,222840587.75,1309.0,277146350.9,60.84,,-69.44,237677618.57,324.44,269.38,,,,,,,,-12.16,784455.52,37.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,1045555028.22,3.0,,1.0,,,
瞬丰锦运仓储公司,626784,2022,39257301361.89,3964128231.66,17223.0,53539324664.16,30.78,150553696.0,18.52,5102328352.62,78.95,81.29,23.35,0.26,0.02,100870954.0,12.4,632.0,14.32,10.27,95345578.85,509.0,212.0,,10.0,28.0,,14.0,,14.0,,8.0,4.0,3.67,,,,,,,,,,12063555297.04,295.0,,97.0,,2.0,
物丽锦贸商贸公司,626848,2022,409104640.8,-14933072.6,23.0,1354155450.6,54.08,,-28.34,-14947520.2,-33.38,-29.92,,,,,,,,-14.85,450246.6,24.0,,,,,,,,,,,,,,,,,,,,,,221061586.4,,,,,,
包金金金铜业公司,626935,2022,1877195613.0,87866844.3,422.0,1602771028.2,16.23,33107950.82,-8.14,115022327.51,-32.17,-33.5,16.45,2.09,0.42,,,67.0,3.02,20.64,570968.08,24.0,110.0,,2.0,7.0,,3.0,,1.0,,8.0,,15.79,,,,,,,,,,305754098.21,121.0,,11.0,,,
果投泽能燃气公司,627063,2022,7551220859.14,157604689.72,524.0,1163330935.51,60.99,985105.73,-14.47,174137489.02,62.41,55.84,1356.44,0.03,0.05,,,,,-5.9,7074729.88,54.0,125.0,,21.0,14.0,,3.0,,3.0,,7.0,2.0,,,,,,,,,,,4604011783.32,319.0,,43.0,,,
丽信悦光电气公司,627172,2022,1608351553.42,61838931.57,2323.0,1385462838.1,47.35,52605978.78,5.72,67510419.48,229.3,241.65,-7.57,3.8,-0.57,,,373.0,-6.98,-32.9,3316691.56,23.0,543.0,5.0,24.0,10.0,,39.0,,4.0,,26.0,6.0,16.15,,,,,,,,,,761125755.54,318.0,,65.0,5.0,,
众铁筑盛路桥公司,627221,2022,103050084736.44,3173047595.58,28070.0,65018929544.14,77.78,1682697648.56,13.04,3879075955.7,14.3,15.31,33.1,2.5,0.38,,-102.0,1923.0,-1.26,13.5,18145062.03,107.0,2255.0,6.0,201.0,77.0,,695.0,,233.0,,636.0,97.0,6.88,,,1.0,1.0,,,,,,80097772691.78,1799.0,,670.0,6.0,,
印星星印刷公司,627237,2022,279844855.0,33814284.0,171.0,287497696.0,16.53,7298213.0,9.44,47599952.0,-0.96,-4.04,23.39,2.59,0.28,,,,,5.31,,4.81,,,,,,,,,,,,,,,,,,,,,,46200669.0,,,,,,
富娜悦雅时尚公司,627352,2022,3517401776.8,83048809.6,36028.0,5772234342.8,60.31,,12.42,149824639.4,58.2,15.23,,,,,,,,-17.08,,3.99,,,,,,,,,,,,,,,,,,,,,,2121838101.8,,,,,,
燕秦食盛饮料公司,627361,2022,18183749307.3,2502782134.39,4332.0,7884620138.61,39.18,37582375.6,23.05,3341394948.5,23.14,23.35,23.5,0.41,0.09,,,167.0,-6.94,15.35,21966449.66,665.0,381.0,,39.0,16.0,,52.0,,4.0,,25.0,2.0,3.66,,,,,,,,,,7118978124.72,481.0,,68.0,,,
高尹锦贸电子商务公司,627410,2022,3989130070.97,14073755.8,1018.0,7254493626.9,63.6,,-17.77,98452283.97,-89.49,-97.99,,,,,,,,-7.72,20833511.81,54.0,79.0,,,3.0,,,,,,,,,,,,,,,,,,2539392164.85,161.0,,4.0,,,
康盛泽瑞药业股份公司,627501,2022,18237790390.57,1674332112.64,14988.0,11351316814.05,33.2,487585035.17,41.21,1976546508.54,33.94,35.3,63.5,4.3,0.56,,,1587.0,14.55,23.62,84859385.34,247.0,513.0,2.0,23.0,41.0,,59.0,,7.0,,45.0,1.0,10.65,,,,,,,,,,6054986270.15,885.0,,84.0,2.0,1.0,
长桥创光家电公司,627685,2022,6413260023.1,122410399.9,615.0,1484797952.51,7.03,439782635.4,-15.88,123738087.69,-69.8,-69.94,52.0,29.65,13.2,,,527.0,54.13,49.84,23862897.24,148.0,641.0,4.0,191.0,37.0,,253.0,,248.0,,87.0,71.0,85.49,,,,,,,,,,450504213.29,2355.0,,616.0,4.0,,
众建昌盛路桥公司,627792,2022,22080412357.94,803354815.14,1929.0,13433201514.46,61.27,134089304.97,2.97,954389003.15,18.1,18.62,-15.11,1.0,-0.22,26073365.44,-8.0,224.0,5.6,0.56,10433371.02,154.0,256.0,1.0,11.0,1.0,,23.0,,2.0,,24.0,2.0,11.7,,,,,,,,,,13522128193.96,269.0,,22.0,1.0,,
普各泰安医疗器械公司,627909,2022,1497373501.52,-220296116.14,173.0,48206538.8,18.93,150396158.76,525.34,-222938442.73,12.92,2.68,-0.9,312.94,-1663.2,,,65.0,30.0,13.22,25251139.93,56.0,12.0,4.0,9.0,1.0,,,3.0,,3.0,1.0,1.0,36.3,,,,,,,,,,283093455.05,115.0,,12.0,4.0,,
金制锦盛金融控股公司,627999,2022,1492829951.0,-236010717.0,11763.0,888620585.0,31.26,36394395.0,2.61,-236955726.0,-381.06,-408.65,29.43,4.1,0.83,,,,,59.99,26482566.0,1.5,,,,,,,,,,,,,,,,,,,,,,466962767.0,,,,,,
瑞芯芯锐微电子公司,628037,2022,3989490022.04,434615029.63,344.0,1810947369.86,13.44,114125561.32,20.84,506721638.14,7.9,5.87,43.28,6.3,0.95,13415744.78,,105.0,35.9,10.31,13544327.32,137.0,304.0,4.0,58.0,25.0,,25.0,,19.0,,39.0,22.0,31.15,,,,,,,,,,537617142.05,901.0,,162.0,4.0,,
东车信云数据服务公司,628098,2022,10002067502.56,626623753.44,6900.0,4436904660.37,25.99,947610927.46,1.18,648274843.48,-30.72,-27.31,11.33,21.31,1.91,86416670.57,7.71,3000.0,21.84,4.8,33379318.27,289.0,705.0,9.0,427.0,424.0,,42.0,,42.0,,5.0,5.0,43.43,,,1.0,,,,,,,2591980143.6,8759.0,,684.0,9.0,8.0,2.0
爱信盛盛网络设备公司,628127,2022,9903390537.43,613582559.27,4270.0,6911880476.01,38.27,707435699.25,6.54,686021761.1,10.56,8.43,-5.4,10.2,-1.26,47103098.67,-45.61,1067.0,6.7,-1.0,79942139.27,297.0,2023.0,232.0,830.0,387.0,,140.0,3.0,100.0,3.0,155.0,102.0,24.79,,,,,,,,,,3792235420.4,8058.0,,1468.0,236.0,,3.0
众器锦创咨询公司,628161,2022,3048270501.83,181535073.5,2282.0,1925637526.65,35.13,133094365.65,3.15,212455251.7,-13.87,-20.6,-11.57,6.9,-1.1,7531194.64,47.1,370.0,-15.32,5.3,11307115.81,101.0,160.0,,58.0,34.0,,39.0,,17.0,,30.0,18.0,16.48,,,,,,,,,,1072567093.3,937.0,,141.0,,1.0,
冀晋石泰新材料公司,628196,2022,1165455020.07,63861035.19,937.0,637707194.25,19.4,33953468.18,-10.31,70988477.43,-47.4,-43.97,1.45,5.35,0.61,,,113.0,-7.54,-15.5,9724073.22,40.0,183.0,15.0,29.0,21.0,,22.0,1.0,7.0,1.0,21.0,1.0,11.89,,,,,,,,,,226149104.86,658.0,,85.0,15.0,,
众海盛航物流公司,628228,2022,57609373698.0,1431368487.61,11002.0,11980715136.0,27.53,19455552.83,-2.94,1862982036.02,-34.96,-31.18,106.09,0.14,0.04,13768867.0,0.52,99.0,-53.97,207.2,107638805.7,149.0,34.0,,,,,1.0,,1.0,,10.0,,0.9,,,,,,,,,,15867344600.61,26.0,,1.0,,,
铜通恒锦金融控股公司,628424,2022,180277922648.0,1508945445.0,1825.0,4037440653.0,92.08,,5.3,1686865231.0,34.26,29.98,,,,,,,,0.43,81057569.0,76.0,18.0,,,,,,,,,,,,,,,,,,,,,165949769949.0,15.0,,16.0,,,
包金锦泰金属制品公司,628436,2022,2419753524.6,228073893.49,783.0,1765237794.56,16.1,125358384.17,7.25,255280473.21,1.41,2.58,18.94,7.1,0.7,,,116.0,6.65,6.01,28438323.11,37.0,536.0,22.0,95.0,71.0,,73.0,6.0,37.0,6.0,68.0,20.0,14.22,,,,,,,,1.0,,389633393.76,692.0,,203.0,22.0,,
健名生安制药公司,628450,2022,1332064667.0,-1052038269.0,241.0,567394766.0,32.76,350862218.0,840.54,-1052038252.0,28.05,28.04,-5.41,61.89,-558.01,,,,,-0.43,4811477.0,224.0,15.0,9.0,8.0,1.0,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,436642655.0,191.0,,15.0,9.0,,
卫星盛锦新材料公司,628537,2022,3009447667.4,11312179.21,1939.0,1208556129.91,43.51,90973519.67,-10.26,771044.16,-99.66,-94.39,11.39,7.55,1.44,,,287.0,14.6,0.7,5874927.92,41.0,57.0,2.0,21.0,7.0,,6.0,2.0,5.0,2.0,7.0,7.0,14.53,,,,,,,,,,1310774668.9,87.0,,50.0,2.0,,1.0
康原生元医疗器械公司,628598,2022,4419453695.74,367610256.39,2291.0,1456986736.24,50.81,119838628.17,15.8,405326183.1,117.7,134.53,20.1,8.26,0.25,21676254.7,89.93,599.0,30.56,-7.15,24722339.88,39.0,308.0,1.0,73.0,47.0,,43.0,,33.0,,35.0,5.0,25.8,,,,,,,,,,2246214802.06,607.0,,202.0,1.0,,
三松醇盛饮料公司,628902,2022,27003379549.0,2990085696.0,39543.0,19957107633.0,30.79,75251247.0,-10.42,4063760154.0,-18.4,-19.7,8.6,0.35,0.06,,,,,-3.05,546578495.0,446.0,298.0,,17.0,7.0,,37.0,,12.0,,15.0,1.0,,,,,,,,,,,8309374494.0,135.0,,58.0,,1.0,
易煤富昌控股公司,629110,2022,929031087952.0,141677045416.0,21487.0,422230024149.0,35.5,5245004265.0,71.54,194925073774.0,104.43,108.55,,1.28,,1773006556.0,,3015.0,-24.85,19.37,51000385.0,5149.0,15868.0,72.0,4375.0,2919.0,,1413.0,5.0,900.0,5.0,1330.0,622.0,14.05,,,10.0,,,,,1.0,,330648014439.0,49552.0,,9129.0,72.0,2.0,1.0
氪锐锦通人力资源公司,629118,2022,432600752.31,4623778.61,87.0,216953969.11,18.0,,31.72,9519262.43,-74.7,-83.2,,,,,,,,114.5,,0.89,11.0,,,,,11.0,,,,,,,,,,,,,,,,77931565.07,,,,,,
花电昌锦水电公司,629215,2022,79474822696.29,1024442758.3,4505.0,20578265192.95,53.76,7310041.4,-9.06,1580662865.42,-47.77,-57.4,,0.06,,7310301.49,,,,6.55,75535739.2,294.0,207.0,,10.0,1.0,,61.0,,19.0,,45.0,5.0,,,,1.0,,,,,,,42751697174.12,84.0,,63.0,,,
北汽路腾智能汽车公司,629360,2022,10090808907.39,300003261.62,3522.0,5113133284.77,44.43,368605329.59,-6.66,299690606.72,148.29,148.0,-2.18,7.26,0.35,35299164.17,30.41,492.0,5.36,-12.97,160919062.6,119.0,995.0,,104.0,80.0,,92.0,,23.0,,76.0,15.0,13.95,,,,,,,,,,4489474285.78,1620.0,,300.0,,1.0,
众研泽盛科技公司,629480,2022,346552685.36,10929634.86,191.0,106851138.6,12.1,,-2.84,14885207.83,-1.4,-14.49,,,,,,,,-13.33,299946.71,82.0,,,,,,,,,,,,,,,,,,,,,,41939372.26,,,,,,
天业源昌资源公司,629713,2022,3983170411.0,-474765208.0,306.0,466099648.0,-75.75,,42.49,-221515498.0,50.93,27.22,,,,,,,,,20517548.5,3.1,6.0,,3.0,,,,,,,,,,,,,,,,,,,-3018752777.72,28.0,,3.0,,,
人明盛创科技公司,629754,2022,2260117769.41,19578210.92,1202.0,923770035.17,38.76,89779277.33,-4.34,16983166.47,-36.52,-39.6,0.72,9.78,0.44,,,340.0,-6.22,-13.06,19235448.33,48.0,1312.0,68.0,140.0,152.0,,81.0,3.0,26.0,3.0,117.0,26.0,28.47,,,,,,,,,,876260366.58,3176.0,,470.0,68.0,,
润会软云网络公司,630093,2022,1466449764.3,128642848.1,576.0,400359510.02,9.81,64745611.53,18.47,135634473.55,14.98,15.3,7.59,16.1,-1.6,,,241.0,11.92,14.2,12752860.38,73.0,117.0,,31.0,6.0,,15.0,,15.0,,20.0,20.0,41.95,,,,,,,,,,144533047.32,156.0,,119.0,,1.0,
伊丽味悦餐饮管理公司,630113,2022,4685771148.28,169575490.12,2139.0,1623139067.94,19.96,15861024.21,-16.28,239002970.79,-48.48,-47.27,-14.88,0.91,0.01,,,284.0,,3.37,10458485.03,124.0,28.0,,,2.0,,2.0,,2.0,,2.0,,13.12,,,,,,,,,,933231896.58,6.0,,6.0,,,
三松悦醇餐饮管理公司,630724,2022,9345821195.17,837983079.62,5926.0,6440739631.4,29.22,241445297.0,34.73,1016301301.3,108.15,90.07,24.41,3.73,-0.33,1506372.74,-75.11,779.0,-0.18,-5.19,11431789.22,116.0,447.0,,39.0,29.0,,67.0,,18.0,,92.0,5.0,13.08,,,,,,,,,,2734745528.62,342.0,,120.0,,,
兴艺酷文教用品公司,630820,2022,803289931.75,-83612871.93,739.0,317666566.02,28.37,15859512.85,-27.7,-81950176.3,27.5,27.47,-35.55,4.92,-0.65,1287858.45,-17.34,136.0,-20.1,-10.48,1211940.86,39.0,228.0,1.0,6.0,3.0,,,,,,10.0,1.0,17.86,,,,,,,,,,228045047.18,114.0,,10.0,1.0,,
柏森居居家居制造公司,631178,2022,1920718457.5,-31914332.26,2479.0,2705160884.0,60.31,63873480.74,-23.41,42234534.5,34.3,-223.35,14.22,2.34,0.71,,,,,-23.9,10277032.73,1.6,120.0,,2.0,7.0,,13.0,,1.0,,20.0,1.0,,,,,,,,,,,1159496984.5,74.0,,16.0,,,
用丰创数系统公司,631191,2022,2702080526.39,117073563.63,2888.0,1069703200.71,19.02,227117649.95,5.28,130405680.68,-31.33,-31.79,8.14,21.24,0.59,108555939.81,31.87,1365.0,10.31,4.1,7365002.64,50.0,391.0,,20.0,100.0,,28.0,,10.0,,23.0,3.0,47.21,,,,,,,,,,515032914.84,413.0,,214.0,,1.0,
双惠盛鲜调味品公司,631213,2022,12497596942.88,2586893296.48,6761.0,14039078475.47,71.02,110742810.08,7.02,3298963724.77,11.97,7.84,-32.13,0.76,-0.41,,,1137.0,-18.73,1.56,56173352.44,443.0,210.0,,1.0,6.0,,52.0,,,,55.0,,16.72,,,,,,,,,,8874512651.7,16.0,,8.0,,,
双惠鲜鲜食品公司,631597,2022,5229838152.45,-203151689.32,2474.0,1400495427.38,19.86,38650207.03,9.39,-230783940.18,-396.24,-462.8,13.03,2.77,0.05,,,157.0,-2.44,-3.03,25015456.42,35.0,348.0,,18.0,21.0,,22.0,,1.0,,28.0,,6.46,,,,,,,,,,1039984852.95,204.0,,55.0,,,
花盈瑞鸿资产管理公司,631748,2022,21166043984.26,-2560849833.0,496.0,-502662807.5,89.1,,-138.82,-2591369807.77,-987.06,-1089.74,,,,,,,,21.31,,10.0,,,,,,,,,,,,,,,,,,,,,,18868826676.0,,,,,,
平告锦昌电器设备公司,631779,2022,3624320724.75,8605844.57,797.0,620690813.17,10.67,46952397.98,33.58,-5944715.58,-104.4,-96.1,7.84,7.5,-1.8,1059598.26,49.4,249.0,8.04,-0.3,1642964.5,51.0,340.0,2.0,47.0,45.0,,21.0,,12.0,,12.0,6.0,30.33,,,,,,,,,,384663233.88,743.0,,125.0,2.0,,
顺威润源橡胶公司,631837,2022,7990322541.38,-355783818.64,2080.0,4239130361.2,40.43,225341951.92,2.31,-371781283.4,-669.82,-678.57,12.1,5.36,0.4,,,572.0,-17.61,1.42,57079855.3,64.0,233.0,9.0,84.0,60.0,,21.0,,19.0,,21.0,20.0,27.4,,,,,,,,,,3229493628.37,935.0,,209.0,9.0,1.0,
印尚印印务公司,631856,2022,11105027635.0,-2828395744.0,2136.0,1641176857.0,132.01,8094272.0,-53.22,-2805221377.0,-53.39,-58.56,-28.6,0.46,0.16,,,,,-16.7,2400519.0,0.74,37.0,,,,,12.0,,,,10.0,,,,,,,,,,,,14772105957.0,22.0,,,,,
铜通盛鸿资产管理公司,631997,2022,181611957777.6,2202685221.6,7982.0,7776960798.09,75.88,,-9.72,2252918522.39,-16.27,17.69,,,,,,253.0,,-1.59,46705654.84,537.0,9.0,,1.0,,,,,,,,,3.12,,,,,,,,,,137735506667.18,6.0,,1.0,,,1.0
丽邦纺纺服装公司,632043,2022,245890734.0,-35576234.0,247.0,78998161.0,29.62,212043.0,-19.57,-30193888.0,-31.92,-89.02,-89.31,0.23,-1.7,,,3.0,,-14.2,-382028.0,0.33,68.0,,4.0,,,,,,,1.0,1.0,1.25,,,,,,,,,,72858971.0,102.0,,4.0,,,
包金泰泰铝业公司,632086,2022,1507902324.23,150247939.9,803.0,619359003.79,28.1,21012758.9,16.89,174987924.03,33.83,35.19,25.51,3.32,0.27,,,81.0,20.9,7.91,544501.0,45.0,115.0,,14.0,4.0,,21.0,,4.0,,23.0,3.0,10.15,,,,,,,,,,424280051.76,133.0,,25.0,,,
富娜悦纺服装公司,632233,2022,4331388127.29,-79958395.0,5901.0,5195541312.27,32.17,50735767.7,-7.24,-17345666.5,-108.17,-133.67,12.73,0.91,0.11,,,,,-25.36,8843845.0,7.58,81.0,,6.0,14.0,,5.0,,2.0,,1.0,1.0,,,,,,,,,,,1392931788.5,91.0,,23.0,,,
众轮创腾设备公司,632248,2022,1627085634.9,85221771.39,1124.0,399321208.31,24.0,28061813.94,-3.73,94928210.82,5.47,8.84,38.5,7.06,2.12,,,127.0,8.12,26.21,11516002.68,28.0,78.0,,10.0,4.0,,10.0,,5.0,,6.0,1.0,10.7,,,,,,,,,,391990982.41,78.0,,26.0,,,
瑞行生元医疗科技公司,632371,2022,1821692313.26,-76784934.73,820.0,491515870.09,43.65,12345387.64,11.02,-75691756.68,-298.4,-336.7,21.67,2.59,0.29,,,135.0,-10.57,1.94,1021890.03,16.0,238.0,,35.0,130.0,,16.0,,16.0,,13.0,1.0,16.44,,,,,,,,,,795752322.09,342.0,,184.0,,,
快克工精智能公司,632482,2022,1532567380.92,91486491.5,246.0,518199930.03,24.31,24806648.42,-5.13,104656950.22,61.93,18.13,9.46,4.78,0.63,,,76.0,7.06,7.47,2458558.32,54.0,162.0,10.0,22.0,18.0,,19.0,,4.0,,19.0,3.0,31.12,,,,,,,,,,373719031.64,276.0,,53.0,10.0,,
华谊源源石化公司,632582,2022,2449270973.56,638668777.57,1082.0,1946749817.37,10.34,76404506.54,14.68,729708907.71,17.84,18.97,38.72,3.99,0.61,,,129.0,15.78,15.81,18500097.62,56.0,82.0,,17.0,6.0,,10.0,,10.0,,6.0,6.0,11.5,,,,,,,,,,253854330.14,111.0,,45.0,,,
众铝锦泰矿业公司,632625,2022,11305819782.2,1095443240.2,1360.0,4227179733.81,43.7,245063622.77,44.4,1237515944.3,45.2,47.0,39.55,5.8,-0.2,58736.3,,309.0,17.32,20.52,105534714.23,368.0,515.0,,225.0,69.0,,68.0,,56.0,,63.0,47.0,22.32,,,,,,,,,,4944584055.48,1343.0,,385.0,,5.0,
宝新慧慧网络公司,632810,2022,3779529295.0,158777020.78,749.0,1406623206.0,39.81,136971343.0,-3.16,147240405.21,-2.62,-4.17,0.33,9.71,0.31,,,,,0.69,20249141.5,5.9,87.0,3.0,4.0,7.0,,14.0,,7.0,,5.0,,,,,,,,,,,,1505349523.73,93.0,,41.0,3.0,,
威胜仪昌电子科技公司,632829,2022,1234863006.36,50827950.43,1220.0,675403456.1,28.3,134229060.1,20.04,37460659.77,19.83,3.97,14.41,19.84,-0.95,,,423.0,7.72,-7.1,34846430.04,33.0,438.0,1.0,53.0,79.0,,55.0,,27.0,,47.0,6.0,34.91,,,,,,,,,,349447588.44,888.0,,219.0,1.0,,
燕秦锦香酒业公司,632961,2022,3262178631.2,220790824.0,1676.0,5241011851.78,22.16,,9.6,245224402.74,-29.87,-25.7,,,,,,,,-0.84,4223335.2,24.0,,,,,,,,,,,,,,,,,,,,,,722500859.21,,,,,,
惠金锦锦基金管理公司,633381,2022,198893923395.95,703400037.86,9762.0,9324537977.0,80.0,202971142.35,-29.07,796313813.77,-81.4,-78.65,31.25,2.14,1.0,,,339.0,-0.51,11.32,82430328.4,480.0,52.0,,5.0,6.0,,,,,,3.0,1.0,3.49,,,,,,,,,,159224271695.34,110.0,,14.0,,,
花凌达昌金属制品公司,633424,2022,12745134360.08,286151065.08,2916.0,3846974813.4,54.35,161814580.05,8.12,329994182.2,21.42,26.14,5.76,4.27,-0.04,,,584.0,4.65,-1.44,10138235.98,41.0,1216.0,22.0,119.0,101.0,,113.0,,39.0,,96.0,1.0,20.13,,,,,,,,,,6924803884.73,2601.0,,285.0,22.0,,
众白昌锦商贸公司,633470,2022,25175055838.0,-700486242.0,6783.0,31698665488.0,69.55,,-15.62,-42389977.0,-100.82,-229.93,,,,,,,,-3.66,88462727.0,8.7,,,,,,,,,,,,,,,,,,,,,,17500826277.0,,,,,,
众冶锦源检测认证公司,633557,2022,6061219921.9,206572200.93,4859.0,5719628847.21,72.83,212771525.4,8.67,234372601.32,22.6,28.43,19.98,3.78,0.31,,,1041.0,1.83,0.53,9522149.0,55.0,1064.0,,159.0,147.0,,81.0,,20.0,,55.0,7.0,21.52,,,,,,,,,,4413155658.04,2578.0,,354.0,,,
环丘盛创电气公司,633621,2022,1387952587.39,6061874.28,792.0,442803353.86,12.0,77905605.17,5.3,30952621.92,-65.6,-92.9,-2.47,17.57,-1.4,,,329.0,-22.67,-18.83,2457713.1,33.0,226.0,1.0,69.0,46.0,,10.0,,2.0,,15.0,7.0,40.36,,,,,,,,,,166949632.25,1215.0,,132.0,1.0,1.0,
桐昆荣源石化公司,633855,2022,6640506646.2,435018693.3,781.0,2767053932.4,49.5,950053.53,610.17,503985860.23,721.35,707.83,2.41,0.07,-0.23,,,125.0,-38.2,-10.26,424847.86,119.0,123.0,,24.0,24.0,,32.0,,23.0,,15.0,1.0,16.44,,,,,,,,,,3289261139.34,307.0,,71.0,,,
徐业智达重工公司,633890,2022,1300010019.51,37666072.93,502.0,336796210.33,61.07,31885336.24,5.01,38241665.73,-37.8,-36.27,20.8,9.46,1.28,,,89.0,8.53,31.56,5877730.03,52.0,197.0,,20.0,14.0,,12.0,,,,17.0,5.0,17.42,,,,,,,,,,793576715.11,246.0,,57.0,,,
临公机锦装备公司,633897,2022,42551386939.41,2540999510.34,10041.0,14688188598.65,53.05,3565760602.95,51.64,2867454913.76,136.93,119.98,23.26,24.2,-5.5,1977806987.03,9.78,2920.0,43.3,22.76,318352419.28,1689.0,5641.0,397.0,2380.0,584.0,,574.0,72.0,405.0,72.0,535.0,381.0,29.29,,,,,,,,,,22567455824.5,14632.0,,4374.0,393.0,,
众聚盛锦餐饮管理公司,634213,2022,16193504088.35,1117505944.47,16926.0,12182649724.33,26.59,93327883.72,31.31,1340102369.26,55.73,62.74,6.36,0.76,-0.14,,,456.0,32.83,7.03,135867566.1,432.0,715.0,4.0,73.0,41.0,,50.0,1.0,7.0,1.0,68.0,9.0,2.66,,,,,,,,,,4294577232.5,626.0,,141.0,4.0,7.0,
徐业机航机械公司,634217,2022,1273855929.5,6231066.06,497.0,579030668.5,49.58,45754458.42,15.36,-7767518.92,-113.65,-91.16,41.27,7.9,1.46,,,76.0,40.72,2.0,23027540.1,27.0,584.0,1.0,59.0,156.0,,93.0,,59.0,,58.0,17.0,15.36,,,,,,,,,,630966125.11,1400.0,,380.0,1.0,2.0,
亚玮工锦重工公司,634431,2022,3519929263.54,63622756.95,1557.0,702666186.71,34.6,64844152.92,-16.1,642935021.8,328.65,104.0,56.03,9.2,4.23,10628631.02,-32.64,186.0,14.74,-4.44,36741851.8,85.0,524.0,,46.0,36.0,,38.0,,9.0,,57.0,2.0,12.06,,,,,,,,,,1217851368.2,889.0,,120.0,,,
众金达达冶炼公司,634461,2022,44114697839.62,-1206059981.84,17452.0,62616617935.6,56.05,1923923299.0,-19.69,-1094180875.01,-139.31,-142.6,-17.9,3.01,0.0,,,1609.0,-10.91,-7.2,72300792.47,151.0,1582.0,3.0,148.0,333.0,,289.0,2.0,150.0,2.0,132.0,35.0,9.12,,,,,,,,,,24740991204.29,2035.0,,768.0,3.0,4.0,
恒逸荣源化工公司,634584,2022,6875422408.5,66101088.71,2643.0,2882441256.24,44.37,,-80.5,-55035627.24,-107.96,-86.12,,,,,,,,-25.3,15508663.5,12.0,14.0,,4.0,12.0,,,,,,,,,,,,,,,,,,3049006737.0,85.0,,14.0,,2.0,
酷游尚艺娱乐用品公司,634783,2022,1361718692.06,81061220.05,2260.0,1318670166.99,41.54,64846033.21,-4.69,90896256.95,1396.47,448.17,-10.51,4.97,-0.3,,,335.0,-8.81,-17.28,9637576.3,17.0,466.0,,24.0,13.0,,41.0,,4.0,,40.0,2.0,14.9,,,,,,,,,,566110834.22,290.0,,66.0,,,
山坎昌锦煤炭公司,634912,2022,3991831899.6,-590357381.0,1801.0,1873472717.6,24.52,,-21.72,-595055944.0,-169.75,-161.24,,,,,,,,6.35,,7.29,,,,,,,,,,,,,,,,,,,,,,979090122.8,,,,,,
用丰智软数据服务公司,635018,2022,100850464.84,-10375984.67,31.0,359121512.51,49.48,,189.49,-10415567.36,-104.38,-212.6,,,,,,,,40.9,,23.0,,,,,,,,,,,,,,,,,,,,,,49860429.62,,,,,,
